id	Kanji	Strokes	Grade	Kanji_Classification	JLPT-test	Name_of_Radical	Radical_Freq	#_of_On	#_of_Meanings_of_On	#_of_Meanings_of_Kun	Year_of_Inclusion	Kanji_Frequency_with_Proper_Nouns	Kanji_Frequency_without_Proper_Nouns	Symmetry
1404	頂	11	6	形声_Phonetic	3	Oogai	22	1	6	10	1981	12374	12350	S
1405	鳥	11	2	象形_Pictographic	4	Tori	4	1	1	3	1981	39244	20897	P
1406	朝	12	2	会意_Com_Ideographic	4	Tsuki_Tsukihen	8	1	6	2	1981	223992	55404	R
1407	貼	12	7	形声_Phonetic	0	Kai_Kaihen	35	1	1	6	2010	232	232	
1408	超	12	7	形声_Phonetic	2	Hashiru_Soonyoo	6	1	2	5	1981	67462	67445	S
1409	腸	13	4	形声_Phonetic	1	Niku_Nikuzuki	44	1	4	0	1981	5404	5404	P
1410	跳	13	7	形声_Phonetic	1	Ashi_Ashihen	11	1	14	19	1981	8562	8562	
1411	徴	14	7	会意_Com_Ideographic	1	Gyooninben	19	1	3	0	1981	33347	33347	S
1412	嘲	15	7	形声_Phonetic	0	Kuchi_Kuchihen	70	1	2	2	2010	357	357	
1413	潮	15	6	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	3	3	1981	17509	9244	S
1414	澄	15	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	3	7	1981	5535	1725	
1415	調	15	3	形声_Phonetic	3	Gon_Gonben	68	1	6	30	1981	380533	376892	P
1416	聴	17	7	会意_Com_Ideographic	1	Mimi_Mimihen	5	1	1	5	1981	47901	47295	S
1417	懲	18	7	形声_Phonetic	1	Kokoro_Risshinben_Shitagokoro	76	1	3	5	1981	20886	20886	
1418	直	8	2	会意_Com_Ideographic	3	Me_Mehen	19	2	6	23	1981	225689	184378	R
1419	勅	9	7	会意_Com_Ideographic	1	Chikara	23	1	1	0	1981	824	510	R
1420	捗	10	7	形声_Phonetic	0	Tehen	89	1	1	0	2010	56	56	
1421	沈	7	7	形声_Phonetic	2	Mizu_Sanzui_Shitamizu	118	1	1	8	1981	14895	14890	R
1422	珍	9	7	形声_Phonetic	2	Tama_Oo	15	1	3	7	1981	10474	10176	R
1423	朕	10	7	会意_Com_Ideographic	1	Tsuki_Tsukihen	8	1	1	0	1981	37	37	
1424	陳	11	7	会意_Com_Ideographic	1	Kozatohen	31	1	3	0	1981	13735	10728	S
1425	賃	13	6	形声_Phonetic	1	Kai_Kaihen	35	1	7	0	1981	20150	20150	S
1426	鎮	18	7	形声_Phonetic	1	Kane_Kanehen	33	1	1	13	1981	5731	5369	R
1427	追	9	3	会意_Com_Ideographic	3	Shinnyoo	51	1	5	5	1981	115252	114796	R
1428	椎	12	7	形声_Phonetic	1	Ki_Kihen	85	1	2	0	2010	3187	975	S
1429	墜	15	7	会意_Com_Ideographic	1	Tsuchi_Tsuchihen	50	1	1	0	1981	6103	6103	
1430	通	10	2	形声_Phonetic	4	Shinnyoo	51	2	2	38	1981	409067	370160	R
1431	痛	12	6	形声_Phonetic	3	Yamaidare	15	1	1	18	1981	40235	40235	S
1432	塚	12	7	形声_Phonetic	1	Tsuchi_Tsuchihen	50	0	0	3	1981	39408	2853	
1433	漬	14	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	0	0	11	1981	3530	3529	
1434	坪	8	7	形声_Phonetic	1	Tsuchi_Tsuchihen	50	0	0	1	1981	5882	1471	
1435	爪	4	7	象形_Pictographic	0	Tsumekanmuri	2	0	0	7	2010	1258	554	S
1436	鶴	21	7	形声_Phonetic	1	Tori	4	1	2	0	2010	17199	3323	
1437	低	7	4	形声_Phonetic	2	Hito_Ninben_Hitoyane	104	1	1	6	1981	91396	91396	R
1438	呈	7	7	会意_Com_Ideographic	1	Kuchi_Kuchihen	70	1	6	0	1981	6591	6588	P
1439	廷	7	7	形声_Phonetic	1	Ennyoo	3	1	2	0	1981	14294	14240	P
1440	弟	7	2	象形_Pictographic	4	Yumi_Yumihen	11	3	3	1	1981	20452	20205	P
1441	定	8	3	会意_Com_Ideographic	3	Ukanmuri	36	2	4	26	1981	573023	571195	S
